LA535.81 LB535.81 LC535.81 LD535.81 LE535.81 LF535.81 dLA0.00 dLB0.00 dLC0.00 dLD0.00 dLE0.00 dLF0.00 T0.00
LA580.72 LB561.71 LC568.02 LD513.13 LE511.27 LF585.20 dLA4.49 dLB2.59 dLC3.22 dLD-2.27 dLE-2.45 dLF4.94 T10.00
LA580.72 LB561.71 LC568.02 LD513.13 LE511.27 LF585.20 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T10.00
LA578.62 LB555.44 LC561.47 LD514.81 LE512.56 LF582.42 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T11.09
LA576.92 LB549.53 LC555.26 LD516.94 LE514.31 LF580.04 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T12.18
LA575.62 LB543.99 LC549.41 LD519.52 LE516.51 LF578.06 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T13.26
LA574.74 LB538.83 LC543.94 LD522.54 LE519.16 LF576.48 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T14.35
LA574.26 LB534.07 LC538.85 LD525.99 LE522.25 LF575.31 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T15.44
LA574.20 LB529.71 LC534.15 LD529.86 LE525.77 LF574.55 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T16.53
LA574.55 LB525.77 LC529.86 LD534.15 LE529.71 LF574.20 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T17.61
LA575.31 LB522.25 LC525.99 LD538.85 LE534.07 LF574.26 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T18.70
LA576.48 LB519.16 LC522.54 LD543.94 LE538.83 LF574.74 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T19.79
LA578.06 LB516.51 LC519.52 LD549.41 LE543.99 LF575.62 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T20.88
LA580.04 LB514.31 LC516.94 LD555.26 LE549.53 LF576.92 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T21.97
LA582.42 LB512.56 LC514.81 LD561.47 LE555.44 LF578.62 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T23.05
LA585.20 LB511.27 LC513.13 LD568.02 LE561.71 LF580.72 dLA0.32 dLB-3.57 dLC-3.88 dLD3.88 dLE3.57 dLF-0.32 T24.14
